id	name	name_kana	name_short	name_kana_short
1	北海道	ほっかいどう	北海道	ほっかいどう
2	青森県	あおもりけん	青森	あおもり
3	秋田県	あきたけん	秋田	あきた
4	山形県	やまがたけん	山形	やまがた
5	岩手県	いわてけん	岩手	いわて
6	宮城県	みやぎけん	宮城	みやぎ
7	福島県	ふくしまけん	福島	ふくしま
8	茨城県	いばらきけん	茨城	いばらき
9	栃木県	とちぎけん	栃木	とちぎ
10	群馬県	ぐんまけん	群馬	ぐんま
11	埼玉県	さいたまけん	埼玉	さいたま
12	千葉県	ちばけん	千葉	ちば
13	東京都	とうきょうと	東京	とうきょう
14	神奈川県	かながわけん	神奈川	かながわ
15	新潟県	にいがたけん	新潟	にいがた
16	富山県	とやまけん	富山	とやま
17	石川県	いしかわけん	石川	いしかわ
18	福井県	ふくいけん	福井	ふくい
19	山梨県	やまなしけん	山梨	やまなし
20	長野県	ながのけん	長野	ながの
21	岐阜県	ぎふけん	岐阜	ぎふ
22	静岡県	しずおかけん	静岡	しずおか
23	愛知県	あいちけん	愛知	あいち
24	三重県	みえけん	三重	みえ
25	滋賀県	しがけん	滋賀	しが
26	京都府	きょうとふ	京都	きょうと
27	大阪府	おおさかふ	大阪	おおさか
28	兵庫県	ひょうごけん	兵庫	ひょうご
29	奈良県	ならけん	奈良	なら
30	和歌山県	わかやまけん	和歌山	わかやま
31	鳥取県	とっとりけん	鳥取	とっとり
32	島根県	しまねけん	島根	しまね
33	岡山県	おかやまけん	岡山	おかやま
34	広島県	ひろしまけん	広島	ひろしま
35	山口県	やまぐちけん	山口	やまぐち
36	徳島県	とくしまけん	徳島	とくしま
37	香川県	かがわけん	香川	かがわ
38	愛媛県	えひめけん	愛媛	えひめ
39	高知県	こうちけん	高知	こうち
40	福岡県	ふくおかけん	福岡	ふくおか
41	佐賀県	さがけん	佐賀	さが
42	長崎県	ながさきけん	長崎	ながさき
43	熊本県	くまもとけん	熊本	くまもと
44	大分県	おおいたけん	大分	おおいた
45	宮崎県	みやざきけん	宮崎	みやざき
46	鹿児島県	かごしまけん	鹿児島	かごしま
47	沖縄県	おきなわけん	沖縄	おきなわ
